epoch,train_folds,test_folds,phase,loss,accuracy,precision,recall,f1
2,"[0, 1, 3, 4]",[2],train,1.260122947773691,"tensor(0.4237, dtype=torch.float64)",0.4113844433146396,0.423728813559322,0.39797671699413767
2,"[0, 1, 3, 4]",[2],test,1.277504640240823,"tensor(0.3871, dtype=torch.float64)",0.41206273461494713,0.4161073825503356,0.3998304103234977
2,"[0, 1, 2, 4]",[3],train,1.2589755214628626,"tensor(0.4713, dtype=torch.float64)",0.48022164709464465,0.4713114754098361,0.458808246261984
2,"[0, 1, 2, 4]",[3],test,1.285605925100821,"tensor(0.4259, dtype=torch.float64)",0.4696921820497969,0.46308724832214765,0.44429914399968806
2,"[0, 1, 2, 3]",[4],train,1.2599237336740865,"tensor(0.4632, dtype=torch.float64)",0.4554297633655903,0.46320346320346323,0.45409260463940687
2,"[0, 1, 2, 3]",[4],test,1.271817209115669,"tensor(0.4478, dtype=torch.float64)",0.4535169494797735,0.4597315436241611,0.44949685727632155
3,"[1, 2, 3, 4]",[0],train,1.2607084753132667,"tensor(0.4496, dtype=torch.float64)",0.44712666589732025,0.4495798319327731,0.43774843146387576
3,"[1, 2, 3, 4]",[0],test,1.2098108212153116,"tensor(0.5000, dtype=torch.float64)",0.44865963982137524,0.4597315436241611,0.44757545675250043
3,"[0, 2, 3, 4]",[1],train,1.272432625048445,"tensor(0.4321, dtype=torch.float64)",0.42059572910991433,0.43209876543209874,0.4168970518175104
3,"[0, 2, 3, 4]",[1],test,1.1792226032777267,"tensor(0.5818, dtype=torch.float64)",0.4524319792546325,0.4597315436241611,0.4472620925218071
3,"[0, 1, 3, 4]",[2],train,1.2476240315679776,"tensor(0.4449, dtype=torch.float64)",0.43546430486677995,0.4449152542372881,0.42133087463678076
3,"[0, 1, 3, 4]",[2],test,1.2397669476847495,"tensor(0.4516, dtype=torch.float64)",0.4379268053070806,0.4463087248322148,0.42797935717857966
