epoch,train_folds,test_folds,phase,loss,accuracy,precision,recall,f1
1,"[1, 2, 3, 4]",[0],train,1.3920064582289642,"tensor(0.2574, dtype=torch.float64)",0.43990388198711466,0.25742574257425743,0.16695852784940796
1,"[1, 2, 3, 4]",[0],test,1.3862895132744149,"tensor(0.2603, dtype=torch.float64)",0.4392811707191751,0.2579787234042553,0.15849656978041635
1,"[0, 2, 3, 4]",[1],train,1.3852328250282688,"tensor(0.2632, dtype=torch.float64)",0.21643907563025208,0.2631578947368421,0.18833401070243175
1,"[0, 2, 3, 4]",[1],test,1.3903969393836126,"tensor(0.2500, dtype=torch.float64)",0.21634596529071476,0.26063829787234044,0.17615254372896688
1,"[0, 1, 3, 4]",[2],train,1.3886782058080038,"tensor(0.2567, dtype=torch.float64)",0.25645102448775614,0.25666666666666665,0.18248128419386797
1,"[0, 1, 3, 4]",[2],test,1.3862263842632896,"tensor(0.2500, dtype=torch.float64)",0.25603282547577144,0.2553191489361702,0.1701610071418139
1,"[0, 1, 2, 4]",[3],train,1.3889710364276415,"tensor(0.2740, dtype=torch.float64)",0.20401461006732002,0.273972602739726,0.19959553588294504
1,"[0, 1, 2, 4]",[3],test,1.3803990227835519,"tensor(0.2500, dtype=torch.float64)",0.2021767632455283,0.26861702127659576,0.18427865887614212
1,"[0, 1, 2, 3]",[4],train,1.3883931738431337,"tensor(0.2492, dtype=torch.float64)",0.1940462850407942,0.24918032786885247,0.18834293213801873
1,"[0, 1, 2, 3]",[4],test,1.3832672229954894,"tensor(0.2817, dtype=torch.float64)",0.20071938112414023,0.2553191489361702,0.1851496311149326
2,"[1, 2, 3, 4]",[0],train,1.3769465145891648,"tensor(0.2805, dtype=torch.float64)",0.3383074535277991,0.28052805280528054,0.24680025211839765
2,"[1, 2, 3, 4]",[0],test,1.3778582893005789,"tensor(0.2877, dtype=torch.float64)",0.34233848307046266,0.28191489361702127,0.23956553995156243
2,"[0, 2, 3, 4]",[1],train,1.3803576231002808,"tensor(0.2961, dtype=torch.float64)",0.27902326255278714,0.29605263157894735,0.2515068197997535
2,"[0, 2, 3, 4]",[1],test,1.3810575008392334,"tensor(0.2917, dtype=torch.float64)",0.2840046599433333,0.29521276595744683,0.24417371872284088
2,"[0, 1, 3, 4]",[2],train,1.3808226855595906,"tensor(0.2733, dtype=torch.float64)",0.29876160789661665,0.2733333333333333,0.2394407159010144
2,"[0, 1, 3, 4]",[2],test,1.3776194359126843,"tensor(0.3026, dtype=torch.float64)",0.31003763207410623,0.27925531914893614,0.2353638642364234
2,"[0, 1, 2, 4]",[3],train,1.3831165979986322,"tensor(0.2774, dtype=torch.float64)",0.3314015237954558,0.2773972602739726,0.2587022299227264
2,"[0, 1, 2, 4]",[3],test,1.3703537044071017,"tensor(0.3690, dtype=torch.float64)",0.36350758162546,0.2978723404255319,0.27000383601002725
2,"[0, 1, 2, 3]",[4],train,1.3736428292071232,"tensor(0.3148, dtype=torch.float64)",0.3272374201463422,0.31475409836065577,0.28912741175566004
2,"[0, 1, 2, 3]",[4],test,1.3747844511354472,"tensor(0.3803, dtype=torch.float64)",0.3425482610952835,0.3271276595744681,0.29404102645893637
3,"[1, 2, 3, 4]",[0],train,1.3737278999668536,"tensor(0.2805, dtype=torch.float64)",0.28490025687450343,0.28052805280528054,0.2680051270075451
3,"[1, 2, 3, 4]",[0],test,1.3716726646031419,"tensor(0.3151, dtype=torch.float64)",0.2915929066675079,0.2872340425531915,0.2730808994703574
3,"[0, 2, 3, 4]",[1],train,1.3742256478259438,"tensor(0.2862, dtype=torch.float64)",0.27754871414127313,0.28618421052631576,0.2639438943675275
3,"[0, 2, 3, 4]",[1],test,1.373622973759969,"tensor(0.3194, dtype=torch.float64)",0.28887028019857713,0.2925531914893617,0.2671280086448142
3,"[0, 1, 3, 4]",[2],train,1.3731459299723308,"tensor(0.3167, dtype=torch.float64)",0.31563536047027924,0.31666666666666665,0.29982119099845017
3,"[0, 1, 3, 4]",[2],test,1.3708384162501286,"tensor(0.3289, dtype=torch.float64)",0.3185541853288877,0.3191489361702128,0.29839778805840567
3,"[0, 1, 2, 4]",[3],train,1.3706264528509688,"tensor(0.3151, dtype=torch.float64)",0.30549688979082257,0.3150684931506849,0.29885666674164546
3,"[0, 1, 2, 4]",[3],test,1.36131104968843,"tensor(0.4048, dtype=torch.float64)",0.3346661274936751,0.3351063829787234,0.3154188628565646
3,"[0, 1, 2, 3]",[4],train,1.36753194879313,"tensor(0.3475, dtype=torch.float64)",0.3562227081401036,0.3475409836065574,0.3386023908881942
3,"[0, 1, 2, 3]",[4],test,1.3712110284348609,"tensor(0.3521, dtype=torch.float64)",0.3665773508297629,0.3484042553191489,0.3385360263905165
4,"[1, 2, 3, 4]",[0],train,1.370097008868806,"tensor(0.3465, dtype=torch.float64)",0.3400438687630065,0.3465346534653465,0.33517062374843765
4,"[1, 2, 3, 4]",[0],test,1.3669428874368537,"tensor(0.3151, dtype=torch.float64)",0.3318229445181075,0.3404255319148936,0.327690006434166
4,"[0, 2, 3, 4]",[1],train,1.3668399170825356,"tensor(0.3487, dtype=torch.float64)",0.3408749326695434,0.34868421052631576,0.3411119125915098
4,"[0, 2, 3, 4]",[1],test,1.3669913212458293,"tensor(0.3333, dtype=torch.float64)",0.3388833099346208,0.34574468085106386,0.3353797863964213
4,"[0, 1, 3, 4]",[2],train,1.3689163573582968,"tensor(0.3500, dtype=torch.float64)",0.34097208347208346,0.35,0.3390435468177326
4,"[0, 1, 3, 4]",[2],test,1.3645605288053815,"tensor(0.3421, dtype=torch.float64)",0.33744843277394154,0.3484042553191489,0.3324229784516746
4,"[0, 1, 2, 4]",[3],train,1.3657665905887133,"tensor(0.3322, dtype=torch.float64)",0.3257340553737307,0.3321917808219178,0.32672425951934864
4,"[0, 1, 2, 4]",[3],test,1.3554277420043945,"tensor(0.3929, dtype=torch.float64)",0.33866242814193204,0.34574468085106386,0.33897025713051365
4,"[0, 1, 2, 3]",[4],train,1.3666296528988198,"tensor(0.3213, dtype=torch.float64)",0.31525607743217476,0.32131147540983607,0.3150900723805373
4,"[0, 1, 2, 3]",[4],test,1.364571881965852,"tensor(0.3099, dtype=torch.float64)",0.3146876543720485,0.3191489361702128,0.31025448823094814
5,"[1, 2, 3, 4]",[0],train,1.3643841550688538,"tensor(0.3366, dtype=torch.float64)",0.33442876039635716,0.33663366336633666,0.3210899286539048
5,"[1, 2, 3, 4]",[0],test,1.3621647439590872,"tensor(0.3425, dtype=torch.float64)",0.3326055094097775,0.3377659574468085,0.3192125219058372
5,"[0, 2, 3, 4]",[1],train,1.371905991905614,"tensor(0.3158, dtype=torch.float64)",0.3129381850498667,0.3157894736842105,0.30073609005740604
5,"[0, 2, 3, 4]",[1],test,1.361127773920695,"tensor(0.3056, dtype=torch.float64)",0.30626922465027684,0.31382978723404253,0.2929037892053482
5,"[0, 1, 3, 4]",[2],train,1.362308611869812,"tensor(0.3467, dtype=torch.float64)",0.33146097895975857,0.3466666666666667,0.3282763449325566
